id,player_name,date,over_under,points,implied_likelihood,normal_likelihood,poisson_likelihood,raw_data_likelihood,weighted_likelihood,poisson_kelly
5229,Dougie Hamilton,2024-11-10,Over,2.5,62.11%,73.27%,70.97%,62.18%,63.39%,5.85%
5235,Jack Hughes,2024-11-10,Over,3.5,59.52%,68.40%,68.90%,57.96%,54.75%,5.79%
5240,Mikael Granlund,2024-11-10,Under,2.5,60.98%,63.99%,69.38%,69.33%,62.87%,5.38%
5252,Alex Wennberg,2024-11-10,Under,1.5,59.52%,61.00%,67.76%,65.91%,66.44%,5.09%
5212,Ryan Donato,2024-11-10,Under,2.5,60.61%,63.65%,68.15%,68.52%,64.13%,4.79%
5261,Dmitri Voronkov,2024-11-10,Over,1.5,59.52%,67.80%,66.29%,56.96%,56.93%,4.18%
5234,Fabian Zetterlund,2024-11-10,Under,2.5,59.88%,61.12%,65.46%,62.80%,61.19%,3.48%
5243,Timo Meier,2024-11-10,Over,3.5,42.37%,53.33%,50.11%,48.17%,41.52%,3.36%
5278,Troy Terry,2024-11-10,Under,2.5,52.36%,54.09%,58.63%,57.23%,59.04%,3.29%
5248,William Eklund,2024-11-10,Under,1.5,47.62%,48.56%,54.14%,49.02%,49.55%,3.11%
5201,Joel Eriksson Ek,2024-11-10,Over,2.5,62.50%,69.86%,66.82%,62.87%,64.03%,2.88%
5273,Sean Monahan,2024-11-10,Over,2.5,47.62%,57.58%,52.90%,40.50%,44.58%,2.52%
5231,Erik Haula,2024-11-10,Over,1.5,62.11%,68.91%,65.76%,58.38%,56.66%,2.41%
5264,Frank Vatrano,2024-11-10,Under,3.5,58.82%,57.99%,62.54%,60.57%,57.73%,2.26%
5253,Adam Fantilli,2024-11-10,Over,2.5,51.02%,58.45%,55.25%,38.71%,41.50%,2.16%
5280,Yegor Chinakhov,2024-11-10,Under,2.5,49.02%,48.74%,53.04%,70.83%,65.41%,1.97%
5241,Nico Hischier,2024-11-10,Over,2.5,57.47%,63.40%,60.83%,54.44%,52.11%,1.97%
5258,Cole Sillinger,2024-11-10,Under,2.5,56.50%,55.48%,59.85%,72.73%,70.41%,1.93%
5213,Ryan Hartman,2024-11-10,Over,2.5,42.37%,50.58%,46.19%,49.30%,47.64%,1.65%
5256,Alex Killorn,2024-11-10,Under,1.5,38.76%,38.94%,42.76%,44.30%,44.36%,1.63%
5281,Zach Werenski,2024-11-10,Over,3.5,47.62%,53.57%,49.83%,33.33%,34.16%,1.06%
5268,Leo Carlsson,2024-11-10,Under,1.5,40.32%,37.67%,42.80%,45.59%,44.65%,1.04%
5237,Jesper Bratt,2024-11-10,Over,2.5,60.24%,65.15%,61.85%,48.62%,50.81%,1.01%
5270,Mason McTavish,2024-11-10,Under,1.5,40.00%,37.58%,42.23%,37.58%,37.74%,0.93%
5250,Stefan Noesen,2024-11-10,Under,1.5,46.30%,44.09%,48.23%,60.23%,62.46%,0.90%
5272,Ryan Strome,2024-11-10,Under,1.5,48.54%,45.10%,50.00%,51.72%,52.25%,0.71%
5260,Damon Severson,2024-11-10,Under,1.5,47.17%,42.38%,48.28%,61.49%,59.85%,0.52%
5265,Kirill Marchenko,2024-11-10,Over,2.5,52.91%,57.69%,53.57%,41.33%,40.91%,0.35%
5217,Taylor Hall,2024-11-10,Over,1.5,67.11%,71.84%,67.41%,68.60%,71.32%,0.22%
5224,Lukas Reichel,2024-11-10,Under,1.5,59.52%,54.00%,59.78%,60.61%,62.76%,0.16%
5197,Connor Bedard,2024-11-10,Over,2.5,59.52%,62.72%,59.73%,61.45%,62.30%,0.13%
5245,Tyler Toffoli,2024-11-10,Over,2.5,54.64%,57.97%,54.74%,57.39%,53.90%,0.05%
5221,Teuvo Teravainen,2024-11-10,Over,1.5,56.50%,59.80%,56.08%,52.83%,49.82%,-0.24%
