id,player_name,date,over_under,points,implied_likelihood,normal_likelihood,poisson_likelihood,raw_data_likelihood,weighted_likelihood,poisson_kelly
4761,Alex DeBrincat,2024-11-08,Over,2.5,0.5405405405405405,0.5775128175490927,0.53818453056908,0.5511363636363636,0.5171232876712328,-0.0012819466021182224
4762,Alex DeBrincat,2024-11-08,Under,2.5,0.5102040816326531,0.42248718245090733,0.46181546943092,0.44886363636363635,0.4828767123287671,-0.024698354144634588
4763,Bobby McMann,2024-11-08,Over,2.5,0.3968253968253968,0.3877201867788884,0.33598425167979307,0.34177215189873417,0.3567251461988304,-0.02521705358008576
4764,Bobby McMann,2024-11-08,Under,2.5,0.6535947712418301,0.6122798132211116,0.6640157483202069,0.6582278481012658,0.6432748538011696,0.007520799495243702
4765,Dylan Larkin,2024-11-08,Over,3.5,0.4166666666666667,0.40992938981614124,0.38096277459219574,0.375,0.38549618320610685,-0.015301668031916113
4766,Dylan Larkin,2024-11-08,Under,3.5,0.641025641025641,0.5900706101838588,0.6190372254078043,0.625,0.6145038167938931,-0.015313360876707732
4767,John Tavares,2024-11-08,Over,3.5,0.48309178743961356,0.49897537168333683,0.46224692422312763,0.45664739884393063,0.47058823529411764,-0.01008151094816026
4768,John Tavares,2024-11-08,Under,3.5,0.5747126436781609,0.5010246283166632,0.5377530757768724,0.5433526011560693,0.5294117647058824,-0.021726232482514207
4769,Lucas Raymond,2024-11-08,Over,1.5,0.625,0.5966536401424173,0.5606212983739786,0.5416666666666666,0.5246478873239436,-0.0429191344173476
4770,Lucas Raymond,2024-11-08,Under,1.5,0.42016806722689076,0.4033463598575827,0.43937870162602144,0.4583333333333333,0.4753521126760563,0.00828284599092953
4771,Max Domi,2024-11-08,Over,1.5,0.6451612903225806,0.5807779653436947,0.530404225422344,0.5689655172413793,0.5342465753424658,-0.08085156845243943
4772,Max Domi,2024-11-08,Under,1.5,0.4115226337448559,0.41922203465630525,0.469595774577656,0.43103448275862066,0.4657534246575342,0.024670932206941276
4773,Max Pacioretty,2024-11-08,Over,2.5,0.4807692307692307,0.3865680656980772,0.3461838277514886,0.36507936507936506,0.3591549295774648,-0.06480037923076473
4774,Max Pacioretty,2024-11-08,Under,2.5,0.5464480874316939,0.6134319343019228,0.6538161722485114,0.6349206349206349,0.6408450704225352,0.0591818057875831
4775,Mitch Marner,2024-11-08,Over,2.5,0.5555555555555556,0.4750038252587794,0.42835474803461326,0.4294478527607362,0.4148148148148148,-0.07155045423053003
4776,Mitch Marner,2024-11-08,Under,2.5,0.49019607843137253,0.5249961747412206,0.5716452519653867,0.5705521472392638,0.5851851851851851,0.03994142163687235
