id,player_name,date,over_under,points,implied_likelihood,normal_likelihood,poisson_likelihood,raw_data_likelihood,weighted_likelihood,poisson_kelly,kelly/4 365, bet ,99/pinn implied,kelly/4 99, bet99/pinn ,W/L:, del$ ,,bankroll,2161.23%,FACTOR:,wagered:, $-   
6945,Andrei Svechnikov,2024-11-20,Over,3.5,40.82%,36.77%,32.60%,35.00%,35.80%,-3.47%,,,,,,,,," $2,250.00 ",,0.8,,
6946,Andrei Svechnikov,2024-11-20,Under,3.5,64.94%,63.23%,67.40%,65.00%,64.20%,1.76%,,,,,,,,,,,,,
6947,Brent Burns,2024-11-20,Over,2.5,41.49%,47.47%,42.65%,46.41%,41.04%,0.50%,,,,,,,,,delta:, $-   ,,,
6948,Brent Burns,2024-11-20,Under,2.5,64.52%,52.53%,57.35%,53.59%,58.96%,-5.05%,,,,,,,,,,,,,
6949,Jack Roslovic,2024-11-20,Over,1.5,65.36%,61.88%,59.18%,49.67%,53.91%,-4.46%,,,,,,,,,,,,,
6950,Jack Roslovic,2024-11-20,Under,1.5,40.00%,38.12%,40.82%,50.33%,46.09%,0.34%,,,,,,,,,,,,,
6951,Jesperi Kotkaniemi,2024-11-20,Over,1.5,59.52%,57.00%,52.00%,51.69%,54.49%,-4.64%,,,,,,,,,,,,,
6952,Jesperi Kotkaniemi,2024-11-20,Under,1.5,46.30%,43.00%,48.00%,48.31%,45.51%,0.79%,,,,,,,,,,,,,
6953,Joel Farabee,2024-11-20,Over,1.5,52.08%,56.58%,52.38%,58.47%,60.06%,0.15%,,,,,,,,,,,,,
6954,Joel Farabee,2024-11-20,Under,1.5,54.35%,43.42%,47.62%,41.53%,39.94%,-3.68%,,,,,,,,,,,,,
6955,Jordan Martinook,2024-11-20,Over,1.5,59.52%,61.21%,55.75%,60.77%,61.24%,-2.33%,,,,,,,,,,,,,
6956,Jordan Martinook,2024-11-20,Under,1.5,46.30%,38.79%,44.25%,39.23%,38.76%,-0.95%,,,,,,,,,,,,,
6957,Martin Necas,2024-11-20,Over,2.5,60.61%,57.64%,53.86%,53.41%,53.54%,-4.28%,,,,,,,,,,,,,
6958,Martin Necas,2024-11-20,Under,2.5,45.25%,42.36%,46.14%,46.59%,46.46%,0.41%,,,,,,,,,,,,,
6959,Owen Tippett,2024-11-20,Over,2.5,59.52%,58.24%,56.38%,62.07%,62.67%,-1.94%,,,,,,,,,,,,,
6960,Owen Tippett,2024-11-20,Under,2.5,45.87%,41.76%,43.62%,37.93%,37.33%,-1.04%,,,,,,,,,,,,,
6961,Sean Couturier,2024-11-20,Over,1.5,64.52%,63.19%,62.05%,68.48%,66.98%,-1.73%,,,,,,,,,,,,,
